Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
Slovakia; 39 ; 2 121 ; 53,78 ; 181 ; 4 820 ; 26,68 ; 278 ; 4 115 ; 14,79 
Macao; 10 ; 1 366 ; 130,98 ; 36 ; 4 629 ; 127,54 ; 44 ; 4 362 ; 98,20 
Haiti;;; . ; 100 ; 4 344 ; 43,44 ; 256 ; 10 422 ; 40,73 
Barbados;;; . ; 76 ; 4 337 ; 56,85 ; 35 ; 1 623 ; 46,37 
Costa Rica; 20 ; 3 761 ; 187,34 ; 22 ; 3 933 ; 180,40 ; 4 ; 401 ; 97,14 
Colombia; 22 ; 1 976 ; 88,76 ; 40 ; 3 754 ; 93,48 ; 19 ; 1 353 ; 71,70 
Dominica;;; . ; 20 ; 3 307 ; 168,65 ; 11 ; 495 ; 43,56 
Grenada;;; . ; 57 ; 2 883 ; 50,16 ; 24 ; 1 099 ; 45,91 
Iran; 2 ; 319 ; 137,07 ; 22 ; 2 781 ; 125,55 ; 43 ; 4 422 ; 102,70 
Guam; 5 ; 688 ; 132,82 ; 23 ; 2 759 ; 117,69 ; 8 ; 569 ; 73,48 
Ungarn; 4 ; 327 ; 74,10 ; 29 ; 2 597 ; 88,67 ; 52 ; 2 327 ; 44,60 
St.Vincent og Grenadine; 25 ; 1 305 ; 52,22 ; 37 ; 2 208 ; 58,91 ; 37 ; 1 686 ; 44,99 
Argentina; 25 ; 1 702 ; 68,08 ; 33 ; 2 202 ; 66,71 ; 25 ; 1 034 ; 41,37 
Venezuela; 25 ; 1 982 ; 79,29 ; 25 ; 1 982 ; 79,29 ; 9 ; 1 388 ; 159,57 
St. Lucia;;; . ; 38 ; 1 811 ; 47,20 ; 22 ; 982 ; 44,05 
Guatemala; 12 ; 616 ; 51,33 ; 36 ; 1 706 ; 47,38 ; 78 ; 2 887 ; 37,01 
Niger;;; . ; 162 ; 1 389 ; 8,57 ; 243 ; 1 932 ; 7,95 
Pakistan; 2 ; 222 ; 125,39 ; 11 ; 1 256 ; 113,67 ; 16 ; 1 590 ; 97,12 
Zimbabwe;;; . ; 8 ; 1 221 ; 160,78 ; 5 ; 659 ; 123,31 
Maldivene; 1 ; 142 ; 144,15 ; 9 ; 1 135 ; 128,32 ; 16 ; 2 201 ; 134,63 
Brunei; 25 ; 609 ; 24,36 ; 50 ; 1 100 ; 22,01 ; 50 ; 983 ; 19,66 
Reunion;;; . ; 76 ; 853 ; 11,22 ; 10 ; 622 ; 59,45 
Bosnia-Hercegovina; 1 ; 147 ; 210,97 ; 4 ; 851 ; 203,56 ; 4 ; 597 ; 148,19 
Nepal;;; . ; 3 ; 635 ; 216,54 ; 5 ; 721 ; 154,73 
Antigua og Barbuda;;; . ; 11 ; 626 ; 57,46 ; -   ; -   ; . 
Turkmenistan;;; . ; 48 ; 614 ; 12,79 ; 50 ; 526 ; 10,51 
Malta; -   ; 4 ; 63,39 ; 8 ; 590 ; 70,43 ; 8 ; 434 ; 55,30 
Rwanda; 1 ; 134 ; 168,11 ; 3 ; 493 ; 181,85 ; 2 ; 296 ; 165,51 
Sri Lanka;;; . ; 4 ; 440 ; 123,47 ; 1 ; 145 ; 238,40 
Andorra;;; . ; 3 ; 423 ; 134,36 ;;; . 
Ekvatorial-Guinea; 28 ; 405 ; 14,26 ; 28 ; 405 ; 14,26 ; 27 ; 1 051 ; 38,91 
Tanzania; 1 ; 89 ; 73,44 ; 3 ; 372 ; 123,70 ; 4 ; 590 ; 153,24 
Slovenia;;; . ; 4 ; 372 ; 101,06 ; 26 ; 3 047 ; 117,68 
Senegal;;; . ; 3 ; 357 ; 113,25 ; 2 ; 140 ; 79,61 
Uganda; 1 ; 137 ; 240,26 ; 2 ; 350 ; 213,88 ; 6 ; 912 ; 155,03 
Kambodsja; -   ; 316 ; 1 210,76 ; -   ; 316 ; 1 210,76 ; 27 ; 2 753 ; 100,80 
Vestbredden/Gazastripen;;; . ; 26 ; 230 ; 8,85 ;;; . 
Mongolia; -   ; 59 ; 269,88 ; 1 ; 160 ; 258,48 ; -   ; -   ; . 
Zambia; 1 ; 98 ; 171,96 ; 1 ; 98 ; 171,96 ; -   ; -   ; . 
Irak; -   ; 31 ; 135,68 ; -   ; 62 ; 138,25 ;;; . 
Cuba;;; . ; -   ; 37 ; 106,75 ;;; . 
Myanmar/Burma;;; . ; -   ; 29 ; 101,65 ; 122 ; 6 225 ; 51,12 
Peru;;; . ; -   ; 23 ; 192,33 ; -   ; 36 ; 162,66 
Namibia; -   ; 8 ; 147,49 ; -   ; 16 ; 146,85 ; 54 ; 1 746 ; 32,33 
Malawi; -   ; 7 ; 334,65 ; -   ; 7 ; 334,65 ;;; . 
