Norsk eksport av fisk totalt per marked;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 156 ; 2 606 ; 16,69 ; 1 719 ; 24 613 ; 14,32 ; 1 239 ; 11 502 ; 9,28 
EU27; 137 ; 2 463 ; 17,98 ; 1 429 ; 19 906 ; 13,93 ; 921 ; 9 396 ; 10,20 
Polen; 104 ; 2 045 ; 19,69 ; 546 ; 9 642 ; 17,67 ; 230 ; 1 736 ; 7,56 
Litauen; 26 ; 350 ; 13,58 ; 746 ; 7 490 ; 10,04 ; 171 ; 877 ; 5,14 
Island;;; . ; 252 ; 4 400 ; 17,49 ; 48 ; 821 ; 17,19 
Latvia; 7 ; 57 ; 8,31 ; 83 ; 1 283 ; 15,49 ; 59 ; 528 ; 8,91 
Nederland;;; . ; 23 ; 708 ; 31,22 ; 26 ; 442 ; 17,30 
Tyskland;;; . ; 21 ; 488 ; 23,07 ; 417 ; 5 466 ; 13,11 
Ukraina; 19 ; 143 ; 7,49 ; 39 ; 308 ; 7,84 ; 204 ; 945 ; 4,64 
Sverige;;; . ; 6 ; 197 ; 31,31 ; 6 ; 159 ; 28,91 
Danmark;;; . ; 2 ; 62 ; 27,00 ;;; . 
Estland; -   ; 10 ; 23,02 ; 2 ; 36 ; 21,35 ; 13 ; 189 ; 14,18 
;;;;;;;;;
Varenr: 03037904 03038902;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av fersk tunge;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; -   ; 3 ; 98,10 ; -   ; 25 ; 140,06 ; -   ; 16 ; 143,82 
Storbritannia;;; . ; -   ; 22 ; 148,79 ; -   ; 16 ; 143,82 
;;;;;;;;;
Varenr: 03022300;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av klippfisk totalt;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 4 481 ; 315 735 ; 70,46 ; 26 041 ; 1 694 116 ; 65,06 ; 25 305 ; 1 340 490 ; 52,97 
EU27; 1 384 ; 148 026 ; 106,94 ; 5 015 ; 525 024 ; 104,70 ; 5 520 ; 453 655 ; 82,19 
Portugal; 1 227 ; 137 227 ; 111,81 ; 4 271 ; 461 689 ; 108,11 ; 4 716 ; 403 436 ; 85,55 
Brasil; 425 ; 27 592 ; 64,92 ; 6 328 ; 436 892 ; 69,04 ; 4 724 ; 265 930 ; 56,29 
Den Dominikanske Republikk; 926 ; 41 675 ; 44,99 ; 6 405 ; 290 413 ; 45,34 ; 3 952 ; 159 649 ; 40,39 
Kongo, Brazzaville; 803 ; 37 709 ; 46,97 ; 3 522 ; 164 188 ; 46,62 ; 4 387 ; 151 006 ; 34,43 
Jamaica; 213 ; 10 300 ; 48,29 ; 1 789 ; 85 836 ; 47,97 ; 2 422 ; 101 269 ; 41,81 
Kongo; 81 ; 3 734 ; 46,10 ; 621 ; 28 634 ; 46,11 ; 916 ; 32 689 ; 35,68 
Frankrike; 23 ; 1 283 ; 57,02 ; 231 ; 24 964 ; 108,19 ; 272 ; 19 531 ; 71,79 
U S A; 24 ; 3 289 ; 135,91 ; 176 ; 18 586 ; 105,58 ; 214 ; 19 112 ; 89,23 
Nederland; 97 ; 5 068 ; 52,05 ; 336 ; 17 607 ; 52,39 ; 314 ; 12 919 ; 41,14 
Canada; 67 ; 6 433 ; 95,75 ; 163 ; 17 384 ; 106,66 ; 213 ; 19 054 ; 89,51 
Martinique; 64 ; 4 528 ; 71,04 ; 245 ; 16 946 ; 69,20 ; 300 ; 14 930 ; 49,69 
Italia; 35 ; 4 195 ; 119,01 ; 127 ; 15 326 ; 120,49 ; 103 ; 9 503 ; 92,64 
Mexico; 223 ; 14 581 ; 65,39 ; 223 ; 14 581 ; 65,39 ; 289 ; 14 822 ; 51,31 
Trinidad og Tobago; 79 ; 3 859 ; 48,75 ; 284 ; 13 911 ; 48,93 ; 332 ; 14 411 ; 43,35 
San Marino; 50 ; 5 911 ; 118,23 ; 103 ; 11 780 ; 114,65 ; 50 ; 4 492 ; 89,83 
Panama; 13 ; 695 ; 55,59 ; 188 ; 10 855 ; 57,90 ; 250 ; 11 697 ; 46,79 
Guadeloupe; 22 ; 1 470 ; 66,90 ; 143 ; 9 461 ; 66,31 ; 174 ; 8 870 ; 50,84 
Gabon;;; . ; 127 ; 6 309 ; 49,67 ; 250 ; 9 011 ; 36,04 
Nigeria; 5 ; 525 ; 96,97 ; 56 ; 5 375 ; 96,05 ; 46 ; 3 434 ; 74,12 
Angola;;; . ; 108 ; 4 997 ; 46,27 ; 513 ; 18 236 ; 35,55 
Haiti;;; . ; 100 ; 4 344 ; 43,44 ; 256 ; 10 422 ; 40,73 
Barbados;;; . ; 76 ; 4 334 ; 56,81 ; 35 ; 1 615 ; 46,14 
Sveits;;; . ; 31 ; 3 865 ; 125,49 ; 86 ; 8 243 ; 96,07 
Storbritannia; 1 ; 73 ; 81,40 ; 55 ; 3 267 ; 59,19 ; 46 ; 2 109 ; 45,69 
Grenada;;; . ; 57 ; 2 883 ; 50,16 ; 24 ; 1 099 ; 45,91 
Sør Afrika;;; . ; 25 ; 2 586 ; 103,45 ; 25 ; 2 020 ; 80,79 
St.Vincent og Grenadine; 25 ; 1 305 ; 52,22 ; 37 ; 2 208 ; 58,91 ; 37 ; 1 686 ; 44,99 
Argentina; 25 ; 1 702 ; 68,08 ; 33 ; 2 202 ; 66,71 ; 25 ; 1 034 ; 41,37 
Venezuela; 25 ; 1 982 ; 79,29 ; 25 ; 1 982 ; 79,29 ; -   ; -   ; . 
Spania;;; . ; 18 ; 1 866 ; 106,33 ; 24 ; 1 912 ; 79,33 
St. Lucia;;; . ; 38 ; 1 811 ; 47,20 ; 22 ; 982 ; 44,05 
Tyskland; -   ; 22 ; 316,24 ; 12 ; 1 567 ; 126,85 ; 9 ; 834 ; 91,98 
Australia;;; . ; 7 ; 833 ; 113,01 ; 11 ; 1 053 ; 97,94 
Danmark; 2 ; 211 ; 134,21 ; 6 ; 805 ; 131,22 ; 4 ; 439 ; 108,25 
Israel;;; . ; 10 ; 792 ; 79,23 ; 23 ; 1 317 ; 58,55 
Belgia;;; . ; 10 ; 792 ; 78,96 ; 70 ; 4 781 ; 68,32 
Uruguay;;; . ; 12 ; 770 ; 64,21 ; 13 ; 615 ; 49,22 
Antigua og Barbuda;;; . ; 11 ; 626 ; 57,46 ; -   ; -   ; . 
Hellas;;; . ; 4 ; 353 ; 94,04 ; 1 ; 47 ; 47,10 
Kina; 25 ; 270 ; 10,79 ; 25 ; 270 ; 10,79 ;;; . 
Japan;;; . ; 1 ; 95 ; 116,70 ; 1 ; 49 ; 90,63 
De Forente Arabiske Emirater; -   ; 74 ; 176,55 ; -   ; 74 ; 176,55 ; -   ; -   ; . 
Sverige; -   ; 20 ; 325,85 ; -   ; 55 ; 328,00 ; 1 ; 68 ; 79,73 
;;;;;;;;;
Varenr: 03055107 03055108 03055109 03055313 03055320 03055332 03055390 03055903 03055905 03055906 03055908 03055121 03055129 03055913 03055922 03055930 03055992;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av klippfisk torsk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 479 ; 168 032 ; 113,64 ; 6 311 ; 712 720 ; 112,93 ; 6 662 ; 597 252 ; 89,65 
EU27; 1 241 ; 140 458 ; 113,21 ; 4 463 ; 496 152 ; 111,16 ; 4 830 ; 425 141 ; 88,01 
Portugal; 1 202 ; 135 866 ; 113,01 ; 4 111 ; 454 319 ; 110,52 ; 4 451 ; 392 327 ; 88,15 
Brasil; 83 ; 9 775 ; 117,77 ; 1 343 ; 160 309 ; 119,39 ; 1 264 ; 117 857 ; 93,25 
Frankrike;;; . ; 195 ; 22 281 ; 114,26 ; 197 ; 16 567 ; 84,31 
Canada; 47 ; 5 634 ; 119,91 ; 143 ; 16 585 ; 116,16 ; 194 ; 18 347 ; 94,51 
U S A; 24 ; 3 289 ; 135,91 ; 117 ; 15 222 ; 130,06 ; 164 ; 16 789 ; 102,26 
Italia; 35 ; 4 195 ; 119,01 ; 115 ; 14 675 ; 127,36 ; 96 ; 8 959 ; 93,08 
San Marino; 50 ; 5 911 ; 118,23 ; 98 ; 11 398 ; 116,01 ; 50 ; 4 492 ; 89,83 
Sveits;;; . ; 31 ; 3 865 ; 125,49 ; 86 ; 8 243 ; 96,07 
Mexico; 25 ; 2 708 ; 108,34 ; 25 ; 2 708 ; 108,34 ; 25 ; 2 215 ; 88,59 
Sør Afrika;;; . ; 25 ; 2 586 ; 103,45 ; 25 ; 2 020 ; 80,79 
Spania;;; . ; 13 ; 1 629 ; 129,79 ; 21 ; 1 761 ; 84,24 
Den Dominikanske Republikk; -   ; 26 ; 127,95 ; 28 ; 1 483 ; 53,05 ; 3 ; 249 ; 95,76 
Nederland; 1 ; 144 ; 98,69 ; 12 ; 1 041 ; 89,10 ; 11 ; 645 ; 60,35 
Storbritannia;;; . ; 18 ; 927 ; 50,77 ; 5 ; 346 ; 74,07 
Australia;;; . ; 7 ; 833 ; 113,01 ; 11 ; 1 053 ; 97,94 
Tyskland; -   ; 22 ; 316,24 ; 6 ; 710 ; 124,11 ; 9 ; 834 ; 91,98 
Danmark; 2 ; 211 ; 134,21 ; 5 ; 697 ; 136,03 ; 3 ; 396 ; 119,16 
Belgia;;; . ; 3 ; 393 ; 116,37 ; 37 ; 3 442 ; 93,47 
Hellas;;; . ; 4 ; 353 ; 94,04 ; -   ; -   ; . 
Kina; 8 ; 156 ; 19,13 ; 8 ; 156 ; 19,13 ;;; . 
Panama;;; . ; 1 ; 154 ; 123,34 ; 3 ; 235 ; 93,96 
Guadeloupe;;; . ; 1 ; 97 ; 92,29 ; 3 ; 223 ; 75,84 
Martinique;;; . ; 1 ; 77 ; 96,53 ;;; . 
De Forente Arabiske Emirater; -   ; 74 ; 176,55 ; -   ; 74 ; 176,55 ; -   ; -   ; . 
Barbados;;; . ; 1 ; 61 ; 121,61 ; -   ; -   ; . 
Sverige; -   ; 20 ; 325,85 ; -   ; 55 ; 328,00 ; -   ; 28 ; 266,61 
Japan;;; . ; -   ; 31 ; 103,00 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03055107 03055108 03055109 03055121 03055129;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av klippfisk sei;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 2 470 ; 116 301 ; 47,08 ; 16 865 ; 803 517 ; 47,64 ; 15 462 ; 606 440 ; 39,22 
Den Dominikanske Republikk; 901 ; 40 298 ; 44,72 ; 6 325 ; 286 161 ; 45,25 ; 3 832 ; 154 809 ; 40,40 
Brasil; 342 ; 17 817 ; 52,10 ; 3 505 ; 181 934 ; 51,91 ; 2 529 ; 106 747 ; 42,21 
Kongo, Brazzaville; 719 ; 33 723 ; 46,93 ; 3 407 ; 158 568 ; 46,54 ; 4 091 ; 141 945 ; 34,70 
Jamaica; 213 ; 10 300 ; 48,29 ; 1 789 ; 85 836 ; 47,97 ; 2 370 ; 99 197 ; 41,86 
Kongo; 78 ; 3 610 ; 46,10 ; 618 ; 28 509 ; 46,11 ; 889 ; 31 736 ; 35,69 
Trinidad og Tobago; 79 ; 3 859 ; 48,75 ; 284 ; 13 911 ; 48,93 ; 283 ; 12 239 ; 43,31 
Panama; 13 ; 695 ; 55,59 ; 186 ; 10 701 ; 57,46 ; 223 ; 10 317 ; 46,37 
EU27; 47 ; 2 490 ; 52,54 ; 179 ; 9 290 ; 51,98 ; 178 ; 7 332 ; 41,28 
Nederland; 42 ; 2 191 ; 51,67 ; 149 ; 7 703 ; 51,62 ; 136 ; 5 748 ; 42,12 
Angola;;; . ; 108 ; 4 997 ; 46,27 ; 486 ; 17 361 ; 35,72 
Haiti;;; . ; 100 ; 4 344 ; 43,44 ; 237 ; 9 606 ; 40,47 
Barbados;;; . ; 76 ; 4 273 ; 56,38 ; 35 ; 1 615 ; 46,14 
Guadeloupe; 13 ; 853 ; 63,51 ; 61 ; 3 762 ; 61,75 ; 66 ; 3 318 ; 50,02 
Grenada;;; . ; 57 ; 2 883 ; 50,16 ; 20 ; 908 ; 44,65 
Martinique; 12 ; 817 ; 70,38 ; 37 ; 2 470 ; 67,65 ; 35 ; 1 792 ; 50,88 
U S A;;; . ; 39 ; 2 094 ; 53,69 ; 24 ; 1 038 ; 42,81 
St. Lucia;;; . ; 38 ; 1 811 ; 47,20 ; 22 ; 982 ; 44,05 
St.Vincent og Grenadine; 25 ; 1 305 ; 52,22 ; 25 ; 1 305 ; 52,22 ; 29 ; 1 268 ; 44,10 
Italia;;; . ; 12 ; 615 ; 52,53 ; -   ; -   ; . 
Canada; 11 ; 419 ; 37,74 ; 11 ; 419 ; 37,74 ; -   ; -   ; . 
Frankrike; 5 ; 300 ; 59,92 ; 6 ; 360 ; 58,71 ; -   ; -   ; . 
Belgia;;; . ; 6 ; 346 ; 60,16 ; 19 ; 737 ; 39,20 
Portugal;;; . ; 6 ; 267 ; 44,90 ; 19 ; 684 ; 35,66 
Kina; 17 ; 114 ; 6,75 ; 17 ; 114 ; 6,75 ;;; . 
Antigua og Barbuda;;; . ; 1 ; 77 ; 53,28 ; -   ; -   ; . 
Storbritannia;;; . ; 1 ; 30 ; 35,50 ; 2 ; 48 ; 32,16 
Japan;;; . ; -   ; 28 ; 115,50 ; -   ; 17 ; 80,19 
;;;;;;;;;
Varenr: 03055313 03055903 03055913;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av klippfisk lange;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 329 ; 20 445 ; 62,19 ; 885 ; 58 258 ; 65,81 ; 1 160 ; 55 379 ; 47,75 
Brasil;;; . ; 265 ; 18 766 ; 70,73 ; 245 ; 11 726 ; 47,96 
Mexico; 198 ; 11 873 ; 59,96 ; 198 ; 11 873 ; 59,96 ; 243 ; 11 815 ; 48,55 
Martinique; 27 ; 1 981 ; 73,37 ; 129 ; 9 153 ; 71,14 ; 179 ; 9 081 ; 50,74 
Guadeloupe; 5 ; 376 ; 70,39 ; 59 ; 4 027 ; 68,58 ; 83 ; 4 172 ; 50,31 
Den Dominikanske Republikk; 25 ; 1 352 ; 54,07 ; 53 ; 2 770 ; 52,76 ; 65 ; 2 529 ; 38,84 
EU27; 13 ; 742 ; 56,84 ; 42 ; 2 273 ; 54,59 ; 138 ; 6 606 ; 47,80 
Argentina; 25 ; 1 702 ; 68,08 ; 33 ; 2 202 ; 66,71 ; 25 ; 1 034 ; 41,37 
Venezuela; 25 ; 1 982 ; 79,29 ; 25 ; 1 982 ; 79,29 ; -   ; -   ; . 
U S A;;; . ; 20 ; 1 270 ; 63,52 ; 26 ; 1 284 ; 49,88 
Nederland; 5 ; 240 ; 51,32 ; 18 ; 1 012 ; 55,06 ; 25 ; 974 ; 38,31 
St.Vincent og Grenadine;;; . ; 12 ; 903 ; 72,31 ; 9 ; 419 ; 47,91 
Israel;;; . ; 10 ; 792 ; 79,23 ; 23 ; 1 317 ; 58,55 
Uruguay;;; . ; 12 ; 770 ; 64,21 ; 13 ; 615 ; 49,22 
Antigua og Barbuda;;; . ; 9 ; 549 ; 58,10 ; -   ; -   ; . 
Portugal;;; . ; 10 ; 511 ; 52,77 ; 89 ; 4 524 ; 50,74 
Frankrike; 8 ; 502 ; 59,92 ; 8 ; 502 ; 59,92 ; 22 ; 1 054 ; 47,57 
Canada; 9 ; 380 ; 41,78 ; 9 ; 380 ; 41,78 ; 19 ; 706 ; 37,68 
Storbritannia;;; . ; 7 ; 315 ; 45,00 ; 7 ; 267 ; 39,27 
Spania;;; . ; 5 ; 237 ; 47,41 ; -   ; -   ; . 
Nigeria;;; . ; 1 ; 139 ; 154,42 ; -   ; -   ; . 
Kongo, Brazzaville; 1 ; 57 ; 45,17 ; 1 ; 57 ; 45,17 ;;; . 
Japan;;; . ; -   ; 37 ; 132,63 ; -   ; 32 ; 97,46 
Danmark;;; . ; -   ; 10 ; 56,58 ; -   ; -   ; . 
;;;;;;;;;
Varenr: 03055320 03055906 03055930;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av av klippfisk brosme;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 129 ; 6 552 ; 50,76 ; 1 610 ; 96 536 ; 59,96 ; 1 406 ; 56 994 ; 40,54 
Brasil;;; . ; 1 216 ; 75 883 ; 62,41 ; 687 ; 29 601 ; 43,11 
Gabon;;; . ; 127 ; 6 309 ; 49,67 ; 250 ; 9 011 ; 36,04 
Kongo, Brazzaville; 83 ; 3 929 ; 47,40 ; 113 ; 5 520 ; 49,04 ; 164 ; 5 969 ; 36,43 
EU27; 31 ; 1 586 ; 51,56 ; 74 ; 3 877 ; 52,11 ; 78 ; 3 098 ; 39,68 
Martinique; 15 ; 1 038 ; 67,16 ; 57 ; 3 705 ; 65,10 ; 71 ; 3 288 ; 46,28 
Nederland; 24 ; 1 209 ; 51,34 ; 58 ; 3 060 ; 52,62 ; 57 ; 2 253 ; 39,65 
Storbritannia;;; . ; 23 ; 1 183 ; 52,58 ; 31 ; 1 223 ; 39,26 
Portugal;;; . ; 8 ; 387 ; 47,53 ; 9 ; 334 ; 37,06 
Frankrike; 7 ; 377 ; 52,30 ; 7 ; 377 ; 52,30 ; -   ; -   ; . 
Guadeloupe;;; . ; 1 ; 60 ; 66,53 ; -   ; -   ; . 
Belgia;;; . ; 1 ; 53 ; 58,86 ; 12 ; 511 ; 41,77 
;;;;;;;;;
Varenr: 03055332 03055905 03055922;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk totalt;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 238 ; 60 118 ; 252,67 ; 1 362 ; 336 607 ; 247,18 ; 1 282 ; 235 314 ; 183,54 
EU27; 145 ; 41 621 ; 287,68 ; 1 008 ; 281 923 ; 279,81 ; 944 ; 192 354 ; 203,70 
Italia; 122 ; 37 532 ; 308,40 ; 831 ; 246 455 ; 296,73 ; 832 ; 174 274 ; 209,58 
Nigeria; 47 ; 6 222 ; 133,29 ; 235 ; 27 938 ; 118,91 ; 190 ; 17 298 ; 91,05 
Kroatia;;; . ; 68 ; 19 421 ; 285,07 ; 60 ; 11 561 ; 193,06 
U S A; 28 ; 8 004 ; 282,34 ; 52 ; 14 648 ; 280,61 ; 93 ; 17 348 ; 185,97 
Portugal;;; . ; 68 ; 7 356 ; 108,93 ; 30 ; 2 555 ; 86,41 
Storbritannia; -   ; 15 ; 61,57 ; 22 ; 6 584 ; 305,24 ; 33 ; 4 447 ; 136,16 
Canada; 18 ; 4 255 ; 236,66 ; 44 ; 5 155 ; 116,78 ; 20 ; 3 544 ; 173,62 
Danmark; -   ; 6 ; 123,73 ; 12 ; 3 055 ; 252,66 ; 7 ; 1 264 ; 180,93 
Luxemburg; 16 ; 2 013 ; 127,11 ; 16 ; 2 013 ; 127,11 ;;; . 
Tyskland; 4 ; 1 334 ; 305,01 ; 7 ; 1 997 ; 293,38 ; 4 ; 749 ; 189,26 
Nederland; 1 ; 165 ; 196,59 ; 4 ; 900 ; 208,63 ; 8 ; 1 202 ; 149,72 
Frankrike; 2 ; 570 ; 303,92 ; 2 ; 570 ; 303,92 ; 3 ; 607 ; 188,28 
Australia;;; . ; 1 ; 307 ; 272,67 ; 1 ; 169 ; 224,94 
Spania;;; . ; -   ; 146 ; 389,50 ; -   ; -   ; . 
Sveits;;; . ; -   ; 52 ; 220,04 ; -   ; 17 ; 336,46 
;;;;;;;;;
Varenr: 030530080305300903053222030539220305399903055101030551020305510303055104030551110305511203055113030551140305531103055312030553310305590103055902030559040305590703055911030559120305592103055991;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk torsk, lofotrundfisk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 157 ; 44 301 ; 282,12 ; 1 013 ; 288 028 ; 284,34 ; 1 022 ; 208 718 ; 204,29 
EU27; 97 ; 29 668 ; 304,52 ; 878 ; 258 352 ; 294,13 ; 889 ; 185 691 ; 208,93 
Italia; 91 ; 27 764 ; 304,51 ; 788 ; 233 017 ; 295,54 ; 818 ; 172 312 ; 210,56 
Kroatia;;; . ; 68 ; 19 421 ; 285,07 ; 60 ; 11 561 ; 193,06 
U S A; 28 ; 8 004 ; 282,34 ; 52 ; 14 648 ; 280,61 ; 89 ; 16 648 ; 187,99 
Nigeria; 13 ; 2 394 ; 177,94 ; 54 ; 8 159 ; 151,59 ; 32 ; 4 136 ; 127,88 
Canada; 18 ; 4 234 ; 237,86 ; 18 ; 4 234 ; 237,86 ; -   ; 27 ; 197,39 
Danmark;;; . ; 12 ; 2 960 ; 254,37 ; 2 ; 208 ; 138,37 
Storbritannia;;; . ; 9 ; 2 278 ; 241,24 ; 10 ; 1 894 ; 181,43 
Tyskland; 4 ; 1 334 ; 305,01 ; 7 ; 1 957 ; 295,23 ; 2 ; 521 ; 221,20 
Frankrike; 2 ; 570 ; 303,92 ; 2 ; 570 ; 303,92 ; 3 ; 607 ; 188,28 
Australia;;; . ; 1 ; 307 ; 272,67 ; 1 ; 169 ; 224,94 
Nederland;;; . ; 1 ; 273 ; 224,35 ; 1 ; 181 ; 134,22 
Spania;;; . ; -   ; 146 ; 389,50 ;;; . 
Sveits;;; . ; -   ; 52 ; 220,04 ; -   ; 17 ; 336,46 
;;;;;;;;;
Varenr: 03055103 03055113;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk torsk, finnmarksrundfisk;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
TOTALT; 1 ; 89 ; 90,31 ; 26 ; 2 833 ; 110,65 ; 29 ; 4 545 ; 157,98 
EU27;;; . ; 23 ; 2 445 ; 108,54 ;;; . 
Portugal;;; . ; 23 ; 2 445 ; 108,54 ;;; . 
Nigeria; 1 ; 89 ; 90,31 ; 3 ; 388 ; 126,11 ; 9 ; 1 120 ; 119,26 
;;;;;;;;;
Varenr: 03055102 03055112;;;;;;;;;
;;;;;;;;;
© Norges sjømatråd AS;;;;;;;;;
;;;;;;;;;
Datakilde=Toll- og avgiftsdirektoratet (siste mnd.) og Statistisk Sentralbyrå;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Norsk eksport av tørrfisk torsk, rotskjær;;;;;;;;;
;;;;;;;;;
Mengde i tonn, verdi i 1000 NOK;;;;;;;;;
;;;;;;;;;
;April 2023 ureviderte tall;;;Januar - april 2023 ureviderte tall;;;Januar - april 2022 reviderte tall;;
; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg ; Mengde ; Verdi ; Pris pr.kg 
