"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2023","Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","47389.436","53466","Weight in kilograms","53466"
"Norway","2023","Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","46824169.5","23580655","Weight in kilograms","23580655"
"Norway","2023","Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","109353.675","86738","Weight in kilograms","86738"
"Norway","2023","Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","1140.503","240","Weight in kilograms","240"
"Norway","2023","Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","6785925.475","1326068","Weight in kilograms","1326068"
"Norway","2023","Fish; fresh or chilled, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","1914.409","190","Weight in kilograms","190"
"Norway","2023","Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","19623644.786","62561762","Weight in kilograms","62561762"
"Norway","2023","Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","8680356.078","29619505","Weight in kilograms","29619505"
"Norway","2023","Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Import","26220.043","44229","Weight in kilograms","44229"
"Norway","2023","Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99","Export","10013249.292","2871071","Weight in kilograms","2871071"
