"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Norway","2011","Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","3737","229","Weight in kilograms","229"
"Norway","2011","Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","1692","500","Weight in kilograms","500"
"Norway","2011","Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","15079","239","Weight in kilograms","239"
"Norway","2011","Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","3006","45","Weight in kilograms","45"
"Norway","2011","Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","80573","2640","Weight in kilograms","2640"
"Norway","2011","Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Export","344994814","280896690","Weight in kilograms","280896690"
"Norway","2011","Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import","1307332","1590914","Weight in kilograms","1590914"
"Norway","2011","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","132990514","38308322","Weight in kilograms","38308322"
"Norway","2011","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","86988348","25016173","Weight in kilograms","25016173"
"Norway","2011","Toothfish (Dissostichus spp.),frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","2722","97","Weight in kilograms","97"
"Norway","2011","Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","4052226","2464090","Weight in kilograms","2464090"
"Norway","2011","Sardines (Sardina pilchardus, Sardinops spp.)/sardinella (Sardinella spp.)/brisling/sprats (Sprattus sprattus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","6839","2824","Weight in kilograms","2824"
"Norway","2011","Haddock (Melanogrammus aeglefinus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","164133590","65466954","Weight in kilograms","65466954"
"Norway","2011","Haddock (Melanogrammus aeglefinus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","4122394","2618265","Weight in kilograms","2618265"
"Norway","2011","Coalfish (Pollachius virens), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","88650128","42140457","Weight in kilograms","42140457"
"Norway","2011","Coalfish (Pollachius virens), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","1765786","772836","Weight in kilograms","772836"
"Norway","2011","Mackerel (Scomber scombrus/australasicus/japonicus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","593560504","239253668","Weight in kilograms","239253668"
"Norway","2011","Mackerel (Scomber scombrus/australasicus/japonicus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","5166369","2097178","Weight in kilograms","2097178"
"Norway","2011","Dogfish & other sharks, frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","139880","27853","Weight in kilograms","27853"
"Norway","2011","Dogfish & other sharks, frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","4783","678","Weight in kilograms","678"
"Norway","2011","Eels (Anguilla spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","24620","974","Weight in kilograms","974"
"Norway","2011","Sea bass (Dicentrarchus labrax/punctatus), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","6761","423","Weight in kilograms","423"
"Norway","2011","Hake (Merluccius spp., Urophycis spp.), frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","1737041","798577","Weight in kilograms","798577"
"Norway","2011","Fish (excl. of 0303.71 - 0303.78),n.e.s., frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Export","161642112","142257957","Weight in kilograms","142257957"
"Norway","2011","Fish (excl. of 0303.71 - 0303.78),n.e.s., frozen (excl. fillets/other fish meat of 03.04/livers & roes)","Import","3736492","1649036","Weight in kilograms","1649036"
"Norway","2011","Fish livers & roes, frozen","Export","26952649","8678812","Weight in kilograms","8678812"
"Norway","2011","Fish livers & roes, frozen","Import","441905","257493","Weight in kilograms","257493"
"Norway","2011","Swordfish (Xiphias gladius),fresh/chilled","Import","17143","1026","Weight in kilograms","1026"
"Norway","2011","Fish fillets&other fish meat (excl. of 0304.11-0304.12, whether/not minced), fresh/chilled","Export","621902810","65332127","Weight in kilograms","65332127"
"Norway","2011","Fish fillets&other fish meat (excl. of 0304.11-0304.12, whether/not minced), fresh/chilled","Import","3834589","332078","Weight in kilograms","332078"
"Norway","2011","Swordfish (Xiphias gladius),frozen fillets","Import","11203","1000","Weight in kilograms","1000"
"Norway","2011","Fish fillets&other fish meat (excl. of 0304.21-0304.92, whether/not minced), frozen fillets","Export","745044734","112690577","Weight in kilograms","112690577"
"Norway","2011","Fish fillets&other fish meat (excl. of 0304.21-0304.92, whether/not minced), frozen fillets","Import","49960905","7649432","Weight in kilograms","7649432"
"Norway","2011","Fish meat, excluding fillets, whether or not minced; frozen, swordfish (Xiphias gladius)","Import","2195","150","Weight in kilograms","150"
"Norway","2011","Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9","Export","236466667","113636747","Weight in kilograms","113636747"
"Norway","2011","Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9","Import","18273903","5153842","Weight in kilograms","5153842"
"Norway","2011","Fish; flours, meals and pellets, fit for human consumption","Import","584518","34215","Weight in kilograms","34215"
"Norway","2011","Fish; livers, roes and milt of fish, dried, smoked, salted or in brine","Export","3135512","402526","Weight in kilograms","402526"
"Norway","2011","Fish; livers, roes and milt of fish, dried, smoked, salted or in brine","Import","108419","14728","Weight in kilograms","14728"
"Norway","2011","Fish fillets, dried/salted/in brine but not smoked","Export","44234768","9916629","Weight in kilograms","9916629"
"Norway","2011","Fish fillets, dried/salted/in brine but not smoked","Import","2588930","204131","Weight in kilograms","204131"
"Norway","2011","Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal","Export","37988183","2075693","Weight in kilograms","2075693"
"Norway","2011","Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal","Import","655144","34438","Weight in kilograms","34438"
"Norway","2011","Fish; smoked, whether or not cooked before or during smoking, herrings (Clupea harengus, Clupea pallasii), includes fillets, but excludes edible fish offal","Export","472734","71007","Weight in kilograms","71007"
"Norway","2011","Fish; smoked, whether or not cooked before or during smoking, herrings (Clupea harengus, Clupea pallasii), includes fillets, but excludes edible fish offal","Import","74177","8020","Weight in kilograms","8020"
"Norway","2011","Fish; smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal","Import","1149344","65552","Weight in kilograms","65552"
"Norway","2011","Fish; dried, whether or not salted but not smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Export","475329106","48396834","Weight in kilograms","48396834"
"Norway","2011","Fish; dried, whether or not salted but not smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Import","1405627","99721","Weight in kilograms","99721"
"Norway","2011","Fish; dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5","Export","324644821","59172266","Weight in kilograms","59172266"
